austlang_code,iso639_3,glottocode
N18,djd,djam1255
N19,djd,djam1255
N20,tiw,tiwi1244
N21,lrg,lara1258
N22,mpb,
N25,wrz,wara1247
N27,waq,wage1238
N28,nug,nung1291
N29,wux,wuln1239
N33,xmu,kamu1258
N35,wrr,ward1246
N36,nbj,ngar1235
N38,dgn,dago1245
N39,ibd,iwai1244
N42,lmc,limi1242
N43,umr,umbu1259
N44,gup,gunw1252
N44,yxa,
N45,mhg,marg1251
N47,amg,amar1271
N53,zme,mang1382
N55,err,erre1238
N57,djn,djau1244
N60,ngk,ngal1292
N64,mph,maun1240
N65,gup,gunw1252
N68,jng,yang1288
N69,wlg,kunb1251
N70,gup,gunw1252
N71,gup,gunw1252
N73,rmb,remb1249
N74,djj,djee1236
N75,gge,gura1252
N77,nig,ngal1293
N78,mpc,mang1381
N80,nck,naka1260
N85,ygu,yugu1250
N90,nid,ngan1295
N92,alh,alaw1244
N97,djb,djin1252
N112,mec,mara1385
N120,wnd,wand1263
N121,nji,ngar1283
N128,nuy,nung1290
N130,lja,yann1237
N138,wmb,binb1241
N139,dhg,dhan1270
N149,rit,rita1239
N151,aoi,anin1240
N153,jao,yany1243
N155,gbc,gara1269
N157,nam,nang1259
N184,ilg,ilga1238
N191,bvr,bura1267
N202,dhg,dhan1270
N212,jay,yann1237
N226,giy,giyu1238
N37.1,,uwin1234
N40.1,nrx,ngur1260
N94.1,dji,djin1253
N143.1,dax,djar1245
N116.C,guf,mada1281
N116.F,duj,marr1258
S2,,yara1253
S7,nwg,
S8,nay,narr1259
S13,xbg,bung1264
S18,yxu,yuuy1234
S23,llj,ladj1234
S26,tjw,west2443
S29,wth,wath1238
S30,,cola1237
S36,wyi,woiw1237
S38,yxy,yabu1234
S44,ddr,dhud1236
S46,xni,sout2771
S49,ihw,gana1268
S52,xtv,thaw1238
S53,dhu,dhur1239
S59,tbh,thur1254
S60,xrd,nort2760
S61,,sydn1236
S64,xdk,sydn1236
S65,xda,awab1243
S68,unn,gana1278
S69,nay,narr1259
S88,xwt,wotj1234
S89,pmd,pall1243
S31.1,dja,
W1,xbp,bibb1234
W3,wxw,nyun1247
W4,nys,kani1276
W5,xgg,gore1235
W6,pnj,pinj1244
W9,xwj,waju1234
W14,nha,nhan1238
W18,vml,malg1242
W19,yia,ying1247
W21,dhr,dhar1247
W22,wri,wari1262
W23,bxj,bayu1240
W24,bxn,burd1238
W25,iin,thii1234
W26,dhl,dhal1245
W28,djl,djiw1239
W30,nhf,nhuw1239
W33,tju,tjur1240
W34,pnv,pini1244
W35,vma,mart1255
W36,vku,kurr1243
W38,nrl,ngar1287
W39,vka,kari1304
W40,nlr,ngar1286
Y1,mwp,kala1377
Y2,mwp,kala1377
Y20,urf,angu1242
Y22,kuy,kuuk1238
Y25,xpj,mpal1238
Y26,lnj,leni1238
Y27,dgt,tyan1235
Y29,yxm,yinw1236
Y32,aid,alng1239
Y34,dth,arit1239
Y41,,mbiy1238
Y44,kbe,kanj1260
Y45,ump,umpi1239
Y50,umd,umbi1243
Y51,wik,wika1238
Y53,wih,wikm1246
Y54,wik,wika1238
Y55,umg,umbu1256
Y59,wua,wikn1246
Y60,ayd,ayab1239
Y64,pkn,paka1251
Y65,ggr,aghu1254
Y67,fln,flin1247
Y69,thd,thay1249
Y71,typ,thay1248
Y72,yiy,yiry1247
Y73,olk,oyka1239
Y75,wrw,gugu1256
Y78,gvn,kuku1273
Y82,kky,guug1239
Y83,kjn,kunj1245
Y84,typ,thay1248
Y85,kkp,gugu1254
Y108,waq,wage1238
Y109,djf,djan1238
Y115,vmb,mbab1239
Y117,yii,yidi1250
Y123,dbl,dyir1250
Y125,tgz,taga1279
Y128,gdc,gugu1253
Y129,nyt,nyaw1247
Y132,wmi,wami1239
Y133,wrg,waru1264
Y134,wgy,warr1255
Y135,qgu,wulg1239
Y136,lby,lamu1254
Y143,wim,wikm1247
Y160,dyy,dyaa1242
Y176,uwa,kuku1280
Y183,amz,atam1239
Y184,urf,wuth1237
Y186,awg,angu1242
Y191,xgd,guda1244
Y195,zmv,mbar1253
Y200,uky,kuuk1243
Y232,yty,
Y63.1,bpt,barr1247
